,PMCID,sentence_id,CONSORT_Item,labels,section,text,metamap_concepts,metamap_concepts_text,metamap_semantictypes
0,PMC3002766,S45,['3a'],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design,"this double-blind, randomised, parallel-group, placebo-controlled study consisted of a ≤2-week screening period, a 24-week treatment period and an 8-week post-treatment follow-up period.","['C0205173', 'C0456909', 'C1710032', 'C3274571', 'C0439230', 'C3538994', 'C0687676', 'C1533734', 'C1257890', 'C0087111', 'C1704687', 'C0441833', 'C0589120', 'C3887704', 'C1705169', 'C1705765', 'C0039798', 'C2348164', 'C0150108', 'C1698960', 'C0599724', 'C0525065', 'C1705764', 'C1705428', 'C0439531', 'C1519504', 'C0220908', 'C1705429', 'C3469826', 'C1522577', 'C1710031', 'C4554418', 'C2826345', 'C1522326', 'C1080058', 'C0220909', 'C1704685', 'C2348042', 'C0687744', 'C1515981', 'C1710477', 'C1948053']","['Duplicate', 'Group Object', 'Aspects of disease screening', 'Screening procedure', 'And', 'Post', 'Follow-up status', 'Period (temporal qualifier)', 'Trial Screening', 'Treatment Epoch', 'SLC35G1 gene', 'Double Value Type', 'Screening', 'Biomaterial Treatment', 'Administration procedure', 'User Group', 'Parallel Study', 'Groups', 'Screening Study', 'Population Group', 'Clinical Study Follow-up', 'Social group', 'Visually Impaired Persons', 'Disease Screening', 'Blinded', 'Doubling', 'placebo controlled study', 'follow-up', 'research subject screening', 'Post Device', 'treatment - ActInformationManagementReason', 'Follow-Up Report', 'Parallel Lesion', 'Treating', 'therapeutic aspects', 'week', 'per period (qualifier value)', 'Parallel', 'This (eukaryote)', 'Stage Grouping', 'Blindness', 'Therapeutic procedure']","['tmco', 'mnob', 'acty', 'fndg', 'gngm', 'hlca', 'topp', 'idcn', 'inpr', 'qlco', 'euka', 'resa', 'podg', 'ftcn', 'diap', 'popg', ' inpr', 'cnce']"
1,PMC3002766,S46,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design,the study was approved by local ethics committees and conducted in accordance with the amended declaration of helsinki.,"['C1515981', 'C0086902', 'C2603343', 'C1691222']","['Regional Ethics Committees', 'And', 'Study', 'Amended']","['qlco', 'idcn', 'prog', 'resa']"
2,PMC3002766,S47,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design,all patients gave written informed consent.,"['C0444868', 'C0030705', 'C0021430']","['Informed Consent', 'Patients', 'All']","['rnlw', 'podg', 'qnco']"
3,PMC3002766,S49,['4b'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,the study was conducted from october 2003 to may 2005 at 41 centres in europe and north america.,"['C2603343', 'C0015176', 'C3828732', 'C1515981', 'C0028405', 'C0205099', 'C3812381']","['October', 'And', 'North America', 'Month of May', 'Study', 'Europe', 'Central']","['tmco', 'idcn', 'geoa', 'spco', 'resa']"
4,PMC3002766,S50,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,"recruited patients were ≥18 years old, with ssc as defined by the preliminary classification criteria of the american college of rheumatology (acr)17 and at least one active du (onset between 1 week and 3 months prior to randomisation) that was selected by the investigator and termed the ‘cardinal ulcer’ (painful area, ≥2 mm in diameter with visible depth and loss of dermis, amenable to healing and in a location judged compatible with a vascular aetiology, specified by protocol as volar surface of the digit distal to the proximal interphalangeal digital crease).","['C1515974', 'C0443349', 'C0332290', 'C0017446', 'C0205447', 'C0205107', 'C1565156', 'C4284931', 'C2348563', 'C1801960', 'C0243161', 'C0582802', 'C0332152', 'C0205177', 'C3888249', 'C0043240', 'C0205103', 'C3715209', 'C4282383', 'C1515941', 'C0206132', 'C0596070', 'C0439234', 'C0030705', 'C0015127', 'C1522729', 'C0332162', 'C0008902', 'C1412134', 'C0205125', 'C0030193', 'C2599718', 'C0005847', 'C0205108', 'C0450429', 'C0332287', 'C1883674', 'C0035452', 'C0011646', 'C0008903', 'C4522154', 'C4489236', 'C1421478', 'C0043194', 'C0439611', 'C1524057', 'C3897657', 'C1558950', 'C1301886', 'C0205148', 'C0442711', 'C0035173', 'C4284930', 'C1442461', 'C1707391', 'C0557806', 'C1517945', 'C1507394', 'C0205379', 'C1442452', 'C0205146', 'C1515981', 'C3241971', 'C0580836', 'C0678229', 'C3900053', 'C3853793', 'C0205369']","['Etiology aspects', 'Active License', 'Deep (qualifier value)', 'Compatible', 'year', 'In addition to', 'Proximal', 'And', 'Volar', 'active (HL7 RoleLink)', 'Classification of information', 'Anatomic Site', 'Blood Vessel', 'Digit - number character', 'American College of Radiology', 'Loss', 'Location of Pharyngeal Residue Following Swallowing', 'Clinical trial protocol', 'Proximal Resection Margin', 'Digital', 'Specific qualifier value', '3 Months', 'Location', 'Onset of (contextual qualifier)', 'Distal Resection Margin', 'Protocols documentation', 'Age of Onset', 'Diameter (qualifier value)', 'REMS Protocol', 'Rheumatology specialty', 'Before', 'Dermis', 'Americas Ethnicity', 'Wound Healing', 'Geographic Locations', 'Active', 'Wiskott-Aldrich Syndrome', 'college', 'Adverse Event Associated with Vascular', 'Library Protocol', 'Old', 'Vascular', 'WAS gene', 'Patients', 'Digit structure', 'Consistent with', 'One', 'Intermediate', 'Choose (action)', 'Pain', 'visible', 'Taxonomic', 'Sample Size Calculation', 'Distal (qualifier value)', 'Clinical trial protocol document', 'WAS protein, human', 'surface', 'Area', 'Research Personnel', 'Study Protocol', 'criteria', 'Protocol - answer to question', '1 Week', 'Location of Oral Residue Following Swallowing', 'preliminary', 'ACR gene', 'Amenable', 'Classification']","['pros', 'qnco', 'podg', ' aapp', 'clna', 'blor', 'fndg', 'clas', 'idcn', 'inpr', 'sosy', 'qlco', 'bacs', 'ftcn', 'mnob', 'popg', 'bpoc', 'tmco', 'ocac', 'prog', 'tisu', 'spco', 'acty', 'gngm', 'geoa', 'bmod', 'dsyn', 'orgf']"
5,PMC3002766,S51,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,"patients were excluded if they had received intravenous prostanoids within the previous 3 months, had used phosphodiesterase inhibitors other than for intermittent treatment of male erectile dysfunction, or had received inhaled or oral prostanoids or injected botulinum toxin in an affected finger within 1 month.","['C0205156', 'C1706428', 'C0444735', 'C1442451', 'C0030705', 'C1656262', 'C0392760', 'C0442027', 'C0242350', 'C0006055', 'C1706180', 'C1442461', 'C0004048', 'C1961100', 'C3539996', 'C1552607', 'C0086582', 'C0016129', 'C0033554', 'C0348016', 'C0031638', 'C1706429']","['Intravenous', 'Male Phenotype', '3 Months', 'Male, Self-Reported', 'Inspiration function', 'Affecting', 'Males', '1 Month', 'Male Gender, Self Report', 'Phosphodiesterase Inhibitors [MoA]', 'Botulinum Toxins', 'Phosphodiesterase Inhibitors', 'Erectile dysfunction', 'Patients', 'Act Relationship Subset - previous', 'Oral', 'Intermittent Treatment', 'Phosphodiesterase inhibitors, cardiac stimulant', 'Erectile Dysfunction, CTCAE', 'Fingers', 'Prostaglandins', 'Previous']","['tmco', 'spco', 'fndg', ' orch', 'topp', 'qlco', 'orga', 'hops', 'dsyn', ' phsu', 'podg', ' aapp', 'ftcn', 'horm', 'orgf', 'moft', 'bpoc', 'phsu']"
6,PMC3002766,S52,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,patients were also excluded if they received systemic antibiotics to treat infected dus within 2 weeks prior to randomisation.,"['C1442457', 'C0205373', 'C3540709', 'C0332152', 'C0332285', 'C0003237', 'C0003232', 'C3540706', 'C3540704', 'C3540710', 'C3540705', 'C0030705', 'C2826257', 'C3540708', 'C0013261', 'C3540707']","['2 Weeks', 'Systemic', 'Within', 'Antibiotics, Gynecological', 'Antifungal Antibiotics, Topical', 'Prior Medication Usage', 'Duane Retraction Syndrome', 'Antibiotics, Antitubercular', 'Patients', 'Before', 'Antibiotics, ophthalmologic', 'Antibiotic throat preparations', 'antibiotics, intestinal', 'Antibiotics', 'Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE', 'Antibiotics for systemic use']","['tmco', 'antb', 'dsyn', 'spco', 'podg', 'ftcn', 'evnt']"
7,PMC3002766,S53,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,"also excluded were patients with body weight <40 kg, severe pah (who class iii/iv), moderate to severe hepatic impairment or serum aminotransferase levels >3 times the upper limit of the normal range (uln).","['C4284467', 'C1305866', 'C0441889', 'C0205082', 'C3272598', 'C2698969', 'C0229671', 'C0030705', 'C0441887', 'C4035626', 'C1519815', 'C0948807', 'C3203102', 'C0439801', 'C0005910', 'C0002594', 'C4050466', 'C2349209', 'C0086715', 'C1550100', 'C1549649', 'C1282910', 'C0030123', 'C1546774', 'C1299393', 'C4050465']","['Canadian Cardiovascular Society Grading Scale Class III', 'Borg Category-Ratio 10 Perceived Exertion Score 5', 'Weighing patient', 'Idiopathic pulmonary arterial hypertension', 'Hepatic impairment', 'Body Weight', 'Para-Aminohippurate Sodium Measurement', 'Normal Range', 'Bound (value)', '4-Aminohippuric Acid', 'Limit - Amount class', 'Limited (extensiveness)', '3 times', 'Severe Extremity Pain', 'moderate to severe', 'Patients', 'Levels (qualifier value)', 'Class 3', 'Serum', 'Specimen Source Codes - Serum', 'Severe (severity modifier)', 'WHO Temperature/Humidity Storage Condition', 'Upper', 'Upper Limit of Normal', 'Transaminases', 'Specimen Type - Serum']","['fndg', ' orch', 'hlca', 'irda', 'idcn', 'enzy', 'inpr', ' aapp', 'qlco', 'qnco', 'orga', 'dsyn', 'lbpr', 'spco', 'podg', 'ftcn', ' phsu', 'cnce', 'bdsu']"
8,PMC3002766,S54,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,contraceptive measures and monthly pregnancy testing were required during and for 3 months after the end of study treatment.,"['C0032976', 'C1521826', 'C0009871', 'C0079809', 'C2746065', 'C0009886', 'C0332177', 'C1515981', 'C0444930', 'C1442461']","['Contraceptive Devices', 'Contraceptive Agents', 'Stop (qualifier value)', 'And', 'Protocol Agent', 'End', 'Monthly (qualifier value)', 'Measures', 'Pregnancy Tests', '3 Months']","['tmco', 'medd', 'idcn', 'inpr', 'qnco', 'spco', 'diap', 'phsu']"
9,PMC3002766,S56,"['8a', '8b']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",Randomisation and interventions,"after screening, patients were randomised to bosentan or placebo (1:1 ratio) by sequential allocation of randomisation numbers distributed to each centre in blocks of four.","['C1706778', 'C1548958', 'C4553402', 'C0237753', 'C0028778', 'C1457900', 'C0449788', 'C1547037', 'C0030705', 'C3811660', 'C0205450', 'C0456603', 'C1705294', 'C1533157', 'C0332206', 'C0205099']","['Block Specimens', 'data type - ratio', 'Sequential', 'Four', 'Each (qualifier value)', 'Count of entities', 'Obstruction', 'Ratio', 'Patients', 'Sequential - Sequence/Results Flag', 'Central', 'Blocking', 'Block Unit of Distance', 'Allocation', 'Group Sequential Design', 'Numbers']","['idcn', 'inpr', 'qnco', 'qlco', 'spco', 'resa', 'podg', 'ftcn', 'acty', 'patf', 'bdsu']"
