,PMCID,sentence_id,CONSORT_Item,labels,section,text
0,PMC3002766,S45,['3a'],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design,"this double-blind, randomised, parallel-group, placebo-controlled study consisted of a ≤2-week screening period, a 24-week treatment period and an 8-week post-treatment follow-up period."
1,PMC3002766,S46,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design,the study was approved by local ethics committees and conducted in accordance with the amended declaration of helsinki.
2,PMC3002766,S47,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design,all patients gave written informed consent.
3,PMC3002766,S49,['4b'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,the study was conducted from october 2003 to may 2005 at 41 centres in europe and north america.
4,PMC3002766,S50,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,"recruited patients were ≥18 years old, with ssc as defined by the preliminary classification criteria of the american college of rheumatology (acr)17 and at least one active du (onset between 1 week and 3 months prior to randomisation) that was selected by the investigator and termed the ‘cardinal ulcer’ (painful area, ≥2 mm in diameter with visible depth and loss of dermis, amenable to healing and in a location judged compatible with a vascular aetiology, specified by protocol as volar surface of the digit distal to the proximal interphalangeal digital crease)."
5,PMC3002766,S51,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,"patients were excluded if they had received intravenous prostanoids within the previous 3 months, had used phosphodiesterase inhibitors other than for intermittent treatment of male erectile dysfunction, or had received inhaled or oral prostanoids or injected botulinum toxin in an affected finger within 1 month."
6,PMC3002766,S52,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,patients were also excluded if they received systemic antibiotics to treat infected dus within 2 weeks prior to randomisation.
7,PMC3002766,S53,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,"also excluded were patients with body weight <40 kg, severe pah (who class iii/iv), moderate to severe hepatic impairment or serum aminotransferase levels >3 times the upper limit of the normal range (uln)."
8,PMC3002766,S54,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Settings and participants,contraceptive measures and monthly pregnancy testing were required during and for 3 months after the end of study treatment.
9,PMC3002766,S56,"['8a', '8b']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",Randomisation and interventions,"after screening, patients were randomised to bosentan or placebo (1:1 ratio) by sequential allocation of randomisation numbers distributed to each centre in blocks of four."
10,PMC3002766,S57,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,patients received bosentan 62.5 mg twice daily for 4 weeks and then 125 mg twice daily for the remainder of the treatment period or matching placebo.
11,PMC3002766,S58,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,"the dose could remain at or be decreased to the starting dose due to intolerance, with possible subsequent increase to the target dose."
12,PMC3002766,S59,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,"concomitant use of systemic antibiotics, analgaesics and topical treatments for wound care were allowed, and randomised treatment was administered in addition to the usual, stable (over the previous month) treatment for raynaud's phenomenon."
13,PMC3002766,S60,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,"patients who required parenteral, oral or inhaled prostanoid treatment during the study were first discontinued from study treatment."
14,PMC3002766,S61,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,"use of glibenclamide, fluconazole, calcineurin inhibitors or ciclosporin a was not allowed due to potential drug interactions."
15,PMC3002766,S63,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,the two primary end points were (1) the mean number of new dus per patient assessed by the investigator up to week 24 and (2) the time to healing of the cardinal ulcer up to week 24 in patients with cardinal ulcer healing maintained for 12 or more weeks.
16,PMC3002766,S64,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,"healing was defined as complete epithelialisation, regardless of residual pain."
17,PMC3002766,S65,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,maintenance of cardinal ulcer healing required no recurrence at or contiguous to the original location at week 24 (if healing occurred before or at week 12) or during 12 weeks of observation with permissible extension of the treatment period (if healing occurred after week 12).
18,PMC3002766,S66,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,"to verify that the effect of treatment would not vary substantially across relevant baseline subgroups, the number of new dus up to week 24 was additionally analysed in subgroups based on predefined baseline factors associated with disease severity."
19,PMC3002766,S67,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,"secondary and exploratory end points included: (1) reduction of new dus and overall du number (proportions of patients with no new dus and with each number of new dus up to week 24, time to onset of each number of new dus up to week 24 and change from baseline to week 24 in total number of all dus), (2) healing (time to healing of all baseline dus and of all new dus through week 24, and proportions of patients with healing of all dus by the end of week 24) and (3) pain and disability parameters (changes from baseline to week 24: in pain of the cardinal ulcer and overall hand pain assessed on visual analogue scales; hand disability index (an averaged score from the three health assessment questionnaire (haq) domains of dressing/grooming, grip and hygiene); and haq disability index18 19)."
20,PMC3002766,S68,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,"post hoc analyses included: (1) the number of new dus up to week 12 in the overall patient population and in subgroups defined by randomisation month (october–february or autumn–winter and march–september or spring–summer) and (2) number of new dus, time to each successive new du and total number of dus through week 24 in subgroups defined by the number of dus at baseline (<4 and ≥4)."
