file_id,section,sentence,predicted_labels
10200005,method patient,Patients included in this study were children between 2 and 18 years of age with an acute asthma exacerbation treated in the emergency department (ED) of St Christopher's Hospital for Children between November 1995 and March 1996.,['4a']
10200005,method patient,Patients with the diagnosis of an acute exacerbation of reactive airways disease were initially evaluated by the ED staff who assessed their degree of illness and need for hospitalization.,['0']
10200005,method patient,All study children were treated in the ED with frequent β-agonists delivered by nebulization and oral prednisone; none received intravenous methylprednisolone as part of their ED management.,['5']
10200005,method patient,Indications for admission included the need for frequent β-agonist nebulization treatments as judged by the attending ED physician and the need for supplemental oxygen.,['0']
10200005,method patient,Patients requiring hospitalization were eligible for the study.,['4a']
10200005,method patient,"Patient's were excluded from the study if they had pneumonia or chronic lung disease, had received oral corticosteroids within 5 days before admission, had a recent varicella exposure, or had been previously enrolled in the study.",['4a']
10200005,method patient,"Also excluded were patients requiring intensive care management, continuously nebulized β-agonists, intravenous β-agonists, or mechanical ventilation or patients who had repeatedly vomited oral medication in the ED.",['4a']
10200005,method patient,The protocol was reviewed and approved by the institutional review board of St Christopher's Hospital for Children.,['0']
10200005,protocol,"Once the decision was made to hospitalize the patient, a study investigator was contacted.",['0']
10200005,protocol,"After informed consent, a study investi-",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,Becker et al 587 gator assigned the patient an asthma score to assess the patient's degree of illness (Table I) .,['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"15, 16 Patients were then randomly assigned to receive either oral prednisone or intravenous methylprednisolone in a double-blinded, double-placebo fashion.",['5']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,Assignment to either study group was based on a computer-generated randomization list.,['8a']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"Once a patient was enrolled in the study, an intravenous catheter was placed, and assignment to the general pediatric ward was made.",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"The patient's therapy was directed by the ward team in consultation with the attending physician, who was one of the study team members (JB, NS, MFP).",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"All study patients received either oral prednisone (2 mg/kg/dose rounded to the nearest 5 mg, with a maximum of 120 mg) or placebo (sucrose pill) at 8 AM and 8 PM.",['5']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,The oral prednisone was mixed with chocolate syrup or applesauce if necessary.,['5']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"All patients also received either methylprednisolone (1 mg/kg rounded to the nearest 5 mg, up to a maximum of 60 mg) or saline placebo every 6 hours on an 8 AM, 2 PM, 8 PM, and 2 AM schedule.",['5']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,The medications were administered by nurses in the absence of study investigators.,['5']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,The first dose of study medication was administered 6 to 12 hours after the initial dose of prednisone given in the ED.,['5']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"If the patient received oral prednisone, he or she was given intravenous saline placebo.",['5']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"If the patient received oral placebo, he or she was given intravenous methylprednisolone.",['5']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"If there was a long delay before the patient was transferred from the ED to the hospital room, the protocol was begun in the ED.",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"Any patient who vomited the oral medication twice, complained of nausea or abdominal pain, or had an aversion to the taste of the oral medication was removed from the study.",['6a']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"The study investigators, as the attending physicians, managed all aspects of the study patients' care with the help of the pediatric residents.",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"Supplemental oxygen was given to patients, with pulse oximetry values consistently less than 95% and was discontinued when the patient's pulse oximetry readings were 95% or above while the patient was breathing room air.",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,15 Nebulized ipratropium bromide was given to patients who had received 6 or more albuterol treatments in the 12 hours before being seen in the ED and still had significant distress.,['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,Theophylline was given only if the patients did not appear to be improving or if they were already receiving an oral theophylline preparation on admission.,['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"When chronic asthma therapy was indicated, an inhaled anti-inflammatory medication (cromolyn sodium or corticosteroids) was started once patients were able to tolerate nebulized β-agonists delivered every 3 to 4 hours.",['5']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"Patients were evaluated by a member of the study team and given an asthma score at 8 AM, 4 PM, and midnight (Table I) .",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"On a random basis, the principal investigator (JB) performed a second evaluation to validate scoring consistency.",['0']
