PMCID,sentence_id,text,CONSORT_item,augment,methods
PMC3002834,S49,"Study subjects we studied a subgroup of crs patients from the epocares trial (clinicaltrials.gov, nct00356733), and healthy controls of comparable age and gender.",['0'],0,
PMC3002834,S50,Study subjects a detailed description with inclusion and exclusion criteria of the study has previously been published.14,['4a'],0,
PMC3002834,S51,Study subjects the protocol was approved by the medical ethics committee and all patients gave informed consent.,['0'],0,
PMC3002834,S52,Study subjects procedures were in accordance with the helsinki declaration.,['0'],0,
PMC3002834,S53,"Study subjects patients with mild anaemia (women: 6.4–7.4 mmol/l; men: 6.4–7.8 mmol/l), moderate ckd (estimated creatinine clearance 20–70 ml/min, cockcroft–gault formula) and chf (functional nyha class ii–iv, based on symptoms, signs and objective abnormality on echocardiography,15 reduced ejection fraction (<50%) or left ventricular end-diastolic volume index <97 ml/m2 with evidence of diastolic left ventricular dysfunction16) were included.",['4a'],0,
PMC3002834,S55,Study design epc levels and function were compared between 45 crs patients at baseline and 20 healthy controls.,['6a'],0,
PMC3002834,S56,"Study design the effects of epo treatment were evaluated in an open-label, randomised design.",['3a'],0,
PMC3002834,S57,"Study design patients received epo treatment (50 iu/kg/week; neorecormon, roche pharmaceuticals, woerden, netherlands) or standard treatment without epo for one year.",['5'],0,
PMC3002834,S58,"Study design short-term effects of epo (n =30) versus no epo (n =15) were evaluated after 18 days (3 days after third epo injection), when epo treatment was not yet expected to result in a haematopoietic response.",['6a'],0,
PMC3002834,S59,"Study design long-term (52 week) effects of epo were assessed in a subgroup of epo-treated patients, who were allowed to increase haemoglobin (hb) levels up to 8.5 mmol/l for men and 8.3 mmol/l for women (n =13), and a non epo-treated group (n =13).",['6a'],0,
PMC3002834,S61,"Plasma measurements serum epo levels were measured by sandwich chemiluminescent immunoassay (immulite 2000 platform, siemens healthcare diagnostics, breda, netherlands).",['6a'],0,
PMC3002834,S62,"Plasma measurements endothelial dysfunction, epc mobilising factors and inflammation markers were measured using elisa (e-selectin, vascular cell adhesion molecule-1 (vcam-1), interleukin (il)-6, vegf, sdf-1α (r&d systems, minneapolis, minnesota, usa) and thrombomodulin (diaclone, stamford, connecticut, usa)) or multiplex immunoassay17 (intercellular adhesion molecule-1 (icam-1) and monocyte chemotactic protein-1 (mcp-1) (bio-rad laboratories,hercules, california, usa)).",['6a'],0,
PMC3002834,S63,"Plasma measurements high sensitivity c reactive protein (hscrp) was determined by particle-enhanced immunonephelometry (standard cardio-phase hscrp for bnii, dade behring holding, liederbach, germany).",['6a'],0,
PMC3002834,S64,"Plasma measurements n-terminal prohormone of brain natriuretic peptide (nt-probnp) was measured using electrochemiluminescense immunoassay (cobas ca6000, roche, mannheim, germany).",['6a'],0,
PMC3002834,S65,Plasma measurements samples were measured in duplicate and averaged for analysis.,['6a'],0,
PMC3002834,S67,"Circulating EPC levels circulating epc were defined as cells positive for haematopoietic stem cell marker cd34 and endothelial marker kinase insert domain receptor (kdr; ie, vegf receptor-2).",['6a'],0,
PMC3002834,S68,Circulating EPC levels this cd34+kdr+-epc has previously shown clinical importance by predicting cardiovascular events and death in cardiovascular risk populations.18 19,['0'],0,
